Mode  88:    1005.41   44.9
      Name       Definition      Value  Relative Weight (%)
       D93   D(23,22,38,39)       0.50                 9.50
       D94   D(27,22,38,39)       0.45                 8.60
      D106   D(30,25,26,29)       0.23                 4.40
      D107   D(24,25,30,31)       0.21                 4.10
       A63      A(25,30,32)      -0.21                 4.00
Mode  89:    1006.82  111.7
      Name       Definition      Value  Relative Weight (%)
       D93   D(23,22,38,39)       0.37                 6.50
       A63      A(25,30,32)       0.34                 6.00
       D94   D(27,22,38,39)       0.34                 5.90
      D107   D(24,25,30,31)      -0.33                 5.70
      D102   D(28,24,25,30)       0.29                 5.10
Mode  90:    1009.12  126.8
      Name       Definition      Value  Relative Weight (%)
       A70      A(27,34,37)       0.29                 5.20
       A64      A(25,30,33)      -0.25                 4.50
       A62      A(25,30,31)       0.23                 4.00
       A68      A(27,34,35)      -0.22                 3.90
      D111   D(26,25,30,32)       0.21                 3.80
Mode  92:    1031.28   39.5
      Name       Definition      Value  Relative Weight (%)
      D122   D(26,27,34,37)       0.42                 6.40
       A69      A(27,34,36)       0.41                 6.30
       A68      A(27,34,35)      -0.34                 5.20
      D116   D(29,26,27,34)      -0.33                 5.20
      D117   D(22,27,34,35)      -0.30                 4.60
Mode  93:    1031.84   42.7
      Name       Definition      Value  Relative Weight (%)
       R52         R(47,48)       0.32                 3.00
        A9         A(4,3,8)      -0.19                 1.80
      D132   D(50,48,49,53)       0.18                 1.80
      D141   D(49,48,50,56)      -0.19                 1.80
        R8           R(4,5)      -0.17                 1.60
Mode  94:    1041.76   88.7
      Name       Definition      Value  Relative Weight (%)
       A30      A(14,13,18)      -0.28                 5.20
       R23         R(14,15)      -0.27                 5.00
       A29      A(12,13,18)       0.25                 4.60
       R21         R(13,14)      -0.18                 3.30
       A35      A(14,15,20)      -0.14                 2.60
Mode  95:    1051.13   21.6
      Name       Definition      Value  Relative Weight (%)
       R52         R(47,48)       0.20                 2.50
        A9         A(4,3,8)       0.20                 2.50
        R8           R(4,5)       0.17                 2.20
        A8         A(2,3,8)      -0.17                 2.20
       A14        A(4,5,10)       0.18                 2.20
Mode  99:    1085.87  358.6
      Name       Definition      Value  Relative Weight (%)
       A76      A(11,40,42)      -0.32                 4.80
       A77      A(17,40,42)       0.29                 4.50
       A70      A(27,34,37)       0.19                 2.80
       R30         R(22,23)      -0.17                 2.60
       A52      A(25,24,28)       0.15                 2.40
Mode 100:    1109.27  576.0
      Name       Definition      Value  Relative Weight (%)
       A33      A(15,14,19)      -0.28                 4.80
       A32      A(13,14,19)       0.25                 4.30
       A30      A(14,13,18)       0.21                 3.50
       A80       A(1,43,44)      -0.18                 3.00
       A81       A(7,43,44)       0.17                 2.90
Mode 101:    1133.55   26.9
      Name       Definition      Value  Relative Weight (%)
      D168   D(59,52,58,63)      -0.36                 2.50
      D177   D(61,55,58,63)       0.35                 2.40
      D169   D(59,52,58,64)      -0.32                 2.20
      D178   D(61,55,58,64)       0.32                 2.20
      D159   D(56,50,55,61)      -0.31                 2.10
Mode 102:    1146.16  247.7
      Name       Definition      Value  Relative Weight (%)
       A81       A(7,43,44)       0.23                 3.10
       A12         A(5,4,9)      -0.22                 3.00
       A80       A(1,43,44)      -0.22                 2.90
       A11         A(3,4,9)       0.20                 2.70
       A15        A(6,5,10)       0.19                 2.50
Mode 103:    1152.50  420.7
      Name       Definition      Value  Relative Weight (%)
       R37         R(25,30)      -0.24                 3.90
       A76      A(11,40,42)       0.24                 3.90
