Mode  67:    1003.84   58.5
      Name       Definition      Value  Relative Weight (%)
       A51      A(17,24,27)      -0.31                 4.30
       A57       A(7,29,30)       0.23                 3.30
       A49      A(17,24,25)       0.22                 3.10
       D80   D(12,17,24,26)       0.21                 2.90
       D82   D(16,17,24,25)      -0.16                 2.30
Mode  72:    1044.47  156.7
      Name       Definition      Value  Relative Weight (%)
       A57       A(7,29,30)       0.26                 3.30
       A56       A(1,29,30)      -0.23                 3.00
       A14        A(4,5,10)       0.18                 2.20
       A23       A(2,11,51)      -0.18                 2.20
        R8           R(4,5)       0.16                 2.10
Mode  74:    1059.92   25.1
      Name       Definition      Value  Relative Weight (%)
       R37         R(33,34)       0.30                 3.40
        A9         A(4,3,8)       0.23                 2.60
       A23       A(2,11,51)       0.17                 1.90
        R6           R(3,4)       0.15                 1.70
        A8         A(2,3,8)      -0.15                 1.70
Mode  76:    1100.95   20.3
      Name       Definition      Value  Relative Weight (%)
       A56       A(1,29,30)      -0.27                 4.00
       A57       A(7,29,30)       0.23                 3.40
       A12         A(5,4,9)      -0.18                 2.60
       A51      A(17,24,27)       0.17                 2.60
       R17         R(12,13)      -0.17                 2.50
Mode  78:    1152.97   35.6
      Name       Definition      Value  Relative Weight (%)
       A11         A(3,4,9)       0.22                 4.60
       A12         A(5,4,9)      -0.22                 4.60
       A38      A(15,16,19)      -0.21                 4.40
       A39      A(17,16,19)       0.20                 4.20
       R24         R(15,20)       0.17                 3.50
Mode  80:    1165.51  108.0
      Name       Definition      Value  Relative Weight (%)
        A8         A(2,3,8)       0.27                 4.30
        A9         A(4,3,8)      -0.25                 4.10
       A11         A(3,4,9)      -0.19                 3.00
       A12         A(5,4,9)       0.19                 3.00
       A39      A(17,16,19)       0.19                 3.00
Mode  81:    1186.23   32.0
      Name       Definition      Value  Relative Weight (%)
       A24       A(7,11,51)       0.38                 7.60
       A23       A(2,11,51)      -0.37                 7.40
       A56       A(1,29,30)       0.30                 6.10
       A57       A(7,29,30)      -0.30                 6.00
       A15        A(6,5,10)      -0.15                 3.10
Mode  82:    1228.97   59.1
      Name       Definition      Value  Relative Weight (%)
       A14        A(4,5,10)       0.30                 3.80
       A15        A(6,5,10)      -0.28                 3.70
       A39      A(17,16,19)       0.23                 3.00
       A38      A(15,16,19)      -0.20                 2.60
       R17         R(12,13)      -0.17                 2.20
Mode  88:    1285.00   95.7
      Name       Definition      Value  Relative Weight (%)
