Mode  66:    1004.80   46.2
      Name       Definition      Value  Relative Weight (%)
       A49      A(17,24,27)      -0.35                 6.60
       A47      A(17,24,25)       0.22                 4.30
       D78   D(12,17,24,26)       0.21                 4.10
       D81   D(16,17,24,26)       0.19                 3.60
       A43      A(15,20,23)       0.17                 3.40
Mode  70:    1034.02   32.1
      Name       Definition      Value  Relative Weight (%)
       R37         R(34,35)       0.25                 2.70
        A9         A(4,3,8)      -0.21                 2.30
        R8           R(4,5)      -0.19                 2.00
        A8         A(2,3,8)       0.18                 1.90
        R6           R(3,4)      -0.17                 1.80
Mode  73:    1054.23   54.6
      Name       Definition      Value  Relative Weight (%)
       R37         R(34,35)       0.33                 4.10
       A14        A(4,5,10)       0.21                 2.60
        A9         A(4,3,8)       0.20                 2.50
        R8           R(4,5)       0.17                 2.20
        A8         A(2,3,8)      -0.17                 2.10
Mode  76:    1104.47   43.5
      Name       Definition      Value  Relative Weight (%)
       A55       A(1,30,31)      -0.32                 5.50
       A56       A(7,30,31)       0.29                 5.10
       A31      A(15,14,18)       0.18                 3.10
       R26         R(17,24)       0.17                 3.00
       A49      A(17,24,27)       0.16                 2.90
Mode  83:    1238.33   59.3
      Name       Definition      Value  Relative Weight (%)
       A37      A(17,16,19)       0.30                 3.40
       A55       A(1,30,31)       0.24                 2.80
       A36      A(15,16,19)      -0.22                 2.60
       A56       A(7,30,31)      -0.20                 2.30
        A8         A(2,3,8)      -0.18                 2.10
Mode  85:    1246.24   56.3
      Name       Definition      Value  Relative Weight (%)
       A30      A(13,14,18)      -0.44                10.10
       A31      A(15,14,18)       0.36                 8.30
       R18         R(12,28)       0.23                 5.20
       R19         R(13,14)      -0.22                 4.90
       R26         R(17,24)      -0.14                 3.20
Mode  86:    1248.69   25.9
      Name       Definition      Value  Relative Weight (%)
       A69      A(35,36,41)      -0.26                 2.80
       A68      A(35,36,40)       0.24                 2.60
       A75      A(35,37,44)      -0.23                 2.60
       A74      A(35,37,43)       0.22                 2.50
       A70      A(39,36,40)      -0.19                 2.10
Mode  87:    1263.00  275.5
      Name       Definition      Value  Relative Weight (%)
        A9         A(4,3,8)       0.34                 4.60
        R5          R(2,11)       0.34                 4.50
        A8         A(2,3,8)      -0.29                 3.80
       A36      A(15,16,19)       0.23                 3.10
        R1           R(1,2)      -0.21                 2.90
Mode  88:    1276.55   56.6
      Name       Definition      Value  Relative Weight (%)
        R5          R(2,11)      -0.47                 5.20
       R18         R(12,28)       0.30                 3.30
       R23         R(15,20)       0.27                 3.00
       A36      A(15,16,19)       0.26                 2.90
       R26         R(17,24)       0.26                 2.80
Mode  91:    1301.96   43.4
      Name       Definition      Value  Relative Weight (%)
      D104   D(38,35,37,43)      -0.39                 3.60
       D95   D(38,35,36,40)       0.37                 3.50
       A63      A(34,35,38)       0.32                 3.00
      D103   D(38,35,37,42)      -0.30                 2.80
       D94   D(38,35,36,39)       0.29                 2.70
Mode  92:    1315.97  131.9
      Name       Definition      Value  Relative Weight (%)
       A56       A(7,30,31)      -0.28                 2.30
      D104   D(38,35,37,43)       0.29                 2.30
       A55       A(1,30,31)       0.27                 2.20
       D95   D(38,35,36,40)      -0.26                 2.10
       R16         R(12,13)      -0.21                 1.70
Mode  98:    1356.34   28.9
      Name       Definition      Value  Relative Weight (%)
       R13          R(7,11)       0.47                 4.10
       R15          R(7,30)      -0.35                 3.00
       A44      A(21,20,22)      -0.31                 2.70
       A12         A(5,4,9)      -0.26                 2.30
       A11         A(3,4,9)       0.24                 2.10
Mode  99:    1371.05   28.1
